xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
717506,Cinclus cinclus,White-throated Dipper,Dean McDonnell,Ireland,2022-02-25,19:30,3,A,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/717506,https://xeno-canto.org/717506/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC717506.mp3
706895,Cinclus cinclus,White-throated Dipper,Irish Wildlife Sounds,Ireland,2022-01-30,10:00,12,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/706895,https://xeno-canto.org/706895/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC706895.mp3
613345,Cinclus cinclus,White-throated Dipper,Mr Mark Shorten,Ireland,2021-01-06,09:00,40,A,song,field recording,no,[],48000,https://xeno-canto.org/613345,https://xeno-canto.org/613345/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC613345.mp3
613344,Cinclus cinclus,White-throated Dipper,Mr Mark Shorten,Ireland,2021-01-06,09:00,5,A,flight call,field recording,no,[],48000,https://xeno-canto.org/613344,https://xeno-canto.org/613344/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC613344.mp3
1054699,Cinclus cinclus,White-throated Dipper,Gianluca Congi,Italy,2025-11-12,14:30,4,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/1054699,https://xeno-canto.org/1054699/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC1054699.mp3
1054698,Cinclus cinclus,White-throated Dipper,Gianluca Congi,Italy,2025-11-12,14:30,7,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/1054698,https://xeno-canto.org/1054698/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC1054698.mp3
1054696,Cinclus cinclus,White-throated Dipper,Gianluca Congi,Italy,2025-11-14,14:13,7,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1054696,https://xeno-canto.org/1054696/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC1054696.mp3
987685,Cinclus cinclus,White-throated Dipper,Damien Sevrin,Belgium,2025-04-12,02:27,43,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/987685,https://xeno-canto.org/987685/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC987685.mp3
944124,Cinclus cinclus,White-throated Dipper,Jose Manuel Unanue,Spain,2024-10-31,10:30,26,A,song,field recording,yes,[],44100,https://xeno-canto.org/944124,https://xeno-canto.org/944124/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC944124.mp3
871379,Cinclus cinclus,White-throated Dipper,Xavier Riera,Spain,2024-02-04,16:58,18,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/871379,https://xeno-canto.org/871379/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC871379.mp3
829195,Cinclus cinclus,White-throated Dipper,Alan Dalton,Sweden,2023-04-14,10:00,6,A,call,field recording,yes,[],96000,https://xeno-canto.org/829195,https://xeno-canto.org/829195/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC829195.mp3
757994,Cinclus cinclus,White-throated Dipper,Hannu Varkki,Finland,2022-10-27,12:40,7,A,call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/757994,https://xeno-canto.org/757994/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC757994.mp3
709606,Cinclus cinclus,White-throated Dipper,Sven Jägbrant,Sweden,2022-03-13,07:30,58,A,song,field recording,yes,"[""Cygnus cygnus""]",44100,https://xeno-canto.org/709606,https://xeno-canto.org/709606/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC709606.mp3
700212,Cinclus cinclus,White-throated Dipper,Stanislas Wroza,France,2022-01-29,17:00,53,A,song,field recording,yes,[],48000,https://xeno-canto.org/700212,https://xeno-canto.org/700212/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC700212.mp3
700209,Cinclus cinclus,White-throated Dipper,Stanislas Wroza,France,2022-01-29,17:00,42,A,song,field recording,yes,[],48000,https://xeno-canto.org/700209,https://xeno-canto.org/700209/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC700209.mp3
699160,Cinclus cinclus,White-throated Dipper,Jorge Leitão,Portugal,2020-01-27,12:58,51,A,song,field recording,yes,"[""Phylloscopus collybita"", ""Spinus spinus""]",44100,https://xeno-canto.org/699160,https://xeno-canto.org/699160/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC699160.mp3
687370,Cinclus cinclus,White-throated Dipper,Lars Edenius,Sweden,2020-02-19,11:00,50,A,song,field recording,yes,[],48000,https://xeno-canto.org/687370,https://xeno-canto.org/687370/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC687370.mp3
685851,Cinclus cinclus,White-throated Dipper,Paulo Alves,Portugal,2021-11-10,09:00,6,A,"alarm call, flight call",field recording,yes,[],44100,https://xeno-canto.org/685851,https://xeno-canto.org/685851/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC685851.mp3
685849,Cinclus cinclus,White-throated Dipper,Paulo Alves,Portugal,2021-11-08,15:00,8,A,"alarm call, call, flight call",field recording,yes,[],44100,https://xeno-canto.org/685849,https://xeno-canto.org/685849/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC685849.mp3
679087,Cinclus cinclus,White-throated Dipper,Stein Ø. Nilsen,Norway,2021-04-17,09:00,58,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/679087,https://xeno-canto.org/679087/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC679087.mp3
673367,Cinclus cinclus,White-throated Dipper,Beatrix Saadi-Varchmin,Germany,2021-09-06,07:52,9,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/673367,https://xeno-canto.org/673367/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC673367.mp3
660925,Cinclus cinclus,White-throated Dipper,Peter Ertl,Switzerland,2013-01-04,11:00,21,A,song,field recording,yes,[],44100,https://xeno-canto.org/660925,https://xeno-canto.org/660925/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC660925.mp3
636566,Cinclus cinclus,White-throated Dipper,Paulo Alves,Portugal,2021-04-06,11:30,4,A,"alarm call, flight call",field recording,yes,[],44100,https://xeno-canto.org/636566,https://xeno-canto.org/636566/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC636566.mp3
633228,Cinclus cinclus,White-throated Dipper,Stanislas Wroza,France,2021-03-27,09:00,34,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/633228,https://xeno-canto.org/633228/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC633228.mp3
633227,Cinclus cinclus,White-throated Dipper,Stanislas Wroza,France,2021-03-27,09:00,27,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/633227,https://xeno-canto.org/633227/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/cinclus_cinclus/XC633227.mp3
